setup,unite_detection,horodatage_entree,horodatage_sortie,sens,unite_ob,ob_haut,ob_bas,ob_ouverture_bougie1,niveau_prix,niveau_cote,niveau_unite,niveau_formation,sweep_extreme,unite_fibo,reference_prix,unite_fvg,fvg_haut,fvg_bas,type_entree,prix_entree,stop,objectif,prix_sortie,lots,resultat_eur,resultat_r,motif_sortie,heure_entree,n_paliers
order_block,M15,2026-08-25 08:24:00+00:00,2026-08-25 08:25:00+00:00,haussier,M15,4635.885,4631.375,2026-08-25 03:45:00+00:00,,,,,,,,M5,4636.545,4628.915,marche,4638.535,4630.375,4641.045,4640.745,0.08,15.15,0.271,objectif,8,0
order_block,M15,2026-08-25 13:02:00+00:00,2026-08-25 13:16:00+00:00,baissier,M15,4647.205,4640.375,2026-08-25 11:45:00+00:00,,,,,,,,M5,4636.875,4636.785,marche,4632.115,4648.205,4622.215,4622.515,0.04,32.92,0.597,objectif,13,0
sweep,M15,2026-08-25 16:04:00+00:00,2026-08-25 19:08:00+00:00,baissier,,0.0,0.0,,4653.095,haut,M15,2026-08-25 06:30:00+00:00,4659.145,M15,4604.815,M1,4651.745,4650.855,marche,4647.985,4660.145,4620.0274,4660.445,0.05,-53.4,-1.025,stop,16,2
order_block,M15,2026-08-26 02:04:00+00:00,2026-08-26 02:42:00+00:00,haussier,M15,4650.315,4645.705,2026-08-25 18:30:00+00:00,,,,,,,,M5,4658.785,4658.755,marche,4659.935,4644.705,4665.815,4665.515,0.04,19.15,0.366,objectif,2,0
order_block,M30,2026-08-26 03:07:00+00:00,2026-08-26 04:28:00+00:00,baissier,M30,4673.565,4665.815,2026-08-25 22:30:00+00:00,,,,,,,,M5,4654.605,4653.265,marche,4652.085,4674.565,4641.045,4641.345,0.03,27.64,0.478,objectif,3,0
sweep,H1,2026-08-26 07:22:00+00:00,2026-08-26 08:16:00+00:00,haussier,,0.0,0.0,,4629.235,bas,H1,2026-08-26 01:00:00+00:00,4624.225,M15,4649.295,M1,4632.415,4632.275,marche,4635.065,4623.225,4642.2754,4622.925,0.05,-52.08,-1.025,stop,7,2
sweep,M15,2026-08-26 08:29:00+00:00,2026-08-26 09:17:00+00:00,haussier,,0.0,0.0,,4629.235,bas,M15,2026-08-26 01:00:00+00:00,4624.225,M15,4649.295,M1,4628.635,4627.175,marche,4629.865,4623.225,4642.2754,4622.925,0.09,-53.59,-1.045,stop,8,2
order_block,M15,2026-08-26 10:43:00+00:00,2026-08-26 12:02:00+00:00,baissier,M15,4625.355,4621.635,2026-08-26 09:45:00+00:00,,,,,,,,M5,4622.635,4622.225,marche,4621.165,4626.355,4604.815,4626.655,0.12,-56.52,-1.058,stop,10,0
order_block,M15,2026-08-26 12:34:00+00:00,2026-08-26 12:43:00+00:00,haussier,M15,4622.685,4617.045,2026-08-26 11:30:00+00:00,,,,,,,,M5,4619.195,4618.955,marche,4621.475,4615.645,4629.235,4615.345,0.1,-52.59,-1.051,stop,12,0
sweep,M30,2026-08-26 13:03:00+00:00,2026-08-26 13:06:00+00:00,haussier,,0.0,0.0,,4613.195,bas,M30,2026-08-26 10:00:00+00:00,4610.705,M15,4630.845,M1,4617.825,4617.805,marche,4621.735,4609.705,4625.2058,4609.405,0.05,-52.89,-1.025,stop,13,2
order_block,M30,2026-08-26 13:51:00+00:00,2026-08-26 15:00:00+00:00,baissier,M30,4630.085,4623.525,2026-08-26 12:00:00+00:00,,,,,,,,M5,4626.755,4625.005,marche,4623.375,4633.665,4604.815,4605.115,0.06,94.0,1.775,objectif,13,0
sweep,M30,2026-08-26 15:49:00+00:00,2026-08-26 16:00:00+00:00,haussier,,0.0,0.0,,4604.815,bas,M30,2026-08-25 13:30:00+00:00,4597.865,M15,4633.265,M1,4607.805,4607.595,marche,4609.315,4596.865,4623.353,4596.565,0.05,-54.69,-1.024,stop,15,2
order_block,M15,2026-08-27 01:13:00+00:00,2026-08-27 01:15:00+00:00,baissier,M15,4621.105,4612.935,2026-08-27 00:15:00+00:00,,,,,,,,M5,4621.915,4620.775,marche,4618.875,4622.105,4604.815,4622.405,0.19,-57.61,-1.093,stop,1,0
order_block,M15,2026-08-27 01:15:00+00:00,2026-08-27 01:39:00+00:00,haussier,M15,4611.665,4606.175,2026-08-26 22:45:00+00:00,,,,,,,,M5,4622.305,4618.905,marche,4625.385,4605.175,4629.235,4628.935,0.03,9.15,0.176,objectif,1,0
order_block,M15,2026-08-27 03:30:00+00:00,2026-08-27 03:44:00+00:00,baissier,M15,4642.535,4637.755,2026-08-27 02:00:00+00:00,,,,,,,,M5,4637.845,4635.005,marche,4633.995,4643.535,4629.235,4629.535,0.07,26.82,0.468,objectif,3,0
sweep,M15,2026-08-27 06:18:00+00:00,2026-08-27 06:59:00+00:00,haussier,,0.0,0.0,,4600.165,bas,M15,2026-08-27 00:45:00+00:00,4599.305,M15,4642.535,M1,4603.625,4603.135,marche,4606.795,4598.305,4630.4306,4598.005,0.07,-52.86,-1.035,stop,6,2
order_block,M15,2026-08-27 07:57:00+00:00,2026-08-27 09:38:00+00:00,haussier,M15,4594.435,4589.965,2026-08-26 20:45:00+00:00,,,,,,,,M5,4601.055,4598.565,marche,4602.375,4588.965,4628.035,4588.665,0.05,-58.89,-1.022,stop,7,0
order_block,M15,2026-08-27 12:52:00+00:00,2026-08-27 15:41:00+00:00,baissier,M15,4599.105,4593.475,2026-08-27 09:15:00+00:00,,,,,,,,M5,4588.605,4582.455,marche,4579.885,4600.105,4540.635,4600.405,0.03,-52.88,-1.015,stop,12,0
sweep,M15,2026-08-27 16:30:00+00:00,2026-08-27 16:47:00+00:00,baissier,,0.0,0.0,,4606.685,haut,M15,2026-08-27 08:00:00+00:00,4612.765,M15,4564.225,M1,4608.815,4608.195,marche,4606.485,4613.765,4577.8162,4614.065,0.08,-52.09,-1.041,stop,16,2
sweep,M15,2026-08-27 19:16:00+00:00,2026-08-28 07:01:00+00:00,baissier,,0.0,0.0,,4616.345,haut,M15,2026-08-27 16:45:00+00:00,4617.935,M15,4564.225,M1,4615.085,4614.875,marche,4610.395,4618.935,4579.2638,4610.695,0.07,91.73,1.786,break_even,19,2
order_block,M15,2026-08-28 07:01:00+00:00,2026-08-28 07:08:00+00:00,baissier,M15,4614.275,4607.935,2026-08-27 17:30:00+00:00,,,,,,,,M5,4609.555,4608.695,marche,4605.875,4615.275,4602.405,4602.705,0.07,19.05,0.337,objectif,7,0
sweep,M15,2026-08-28 12:32:00+00:00,2026-08-28 12:37:00+00:00,haussier,,0.0,0.0,,4600.195,bas,M15,2026-08-28 09:15:00+00:00,4590.715,M15,4609.725,M5,4597.605,4595.005,marche,4600.745,4589.715,4604.4022,4589.415,0.06,-58.36,-1.027,stop,12,2
order_block,M15,2026-08-28 13:10:00+00:00,2026-08-28 13:26:00+00:00,baissier,M15,4601.125,4597.425,2026-08-28 11:15:00+00:00,,,,,,,,M5,4605.005,4604.445,marche,4599.095,4602.125,4586.045,4602.425,0.21,-60.03,-1.099,stop,13,0
order_block,M15,2026-08-28 14:04:00+00:00,2026-08-28 14:05:00+00:00,baissier,M15,4586.045,4578.785,2026-08-28 05:15:00+00:00,,,,,,,,M5,4596.115,4595.185,marche,4579.465,4587.045,4575.035,4575.335,0.08,28.36,0.545,objectif,14,0
order_block,M15,2026-08-31 13:54:00+00:00,2026-08-31 14:00:00+00:00,haussier,M15,4427.015,4418.885,2026-08-31 05:00:00+00:00,,,,,,,,M5,4421.175,4418.755,marche,4423.515,4417.885,4433.655,4417.585,0.11,-56.26,-1.053,stop,13,0
order_block,M30,2026-08-31 16:32:00+00:00,2026-08-31 16:38:00+00:00,baissier,M30,4448.145,4433.615,2026-08-31 13:00:00+00:00,,,,,,,,M5,4442.525,4439.775,marche,4436.205,4449.145,4433.655,4433.955,0.05,9.7,0.174,objectif,16,0
sweep,M15,2026-09-01 00:02:00+00:00,2026-09-01 00:12:00+00:00,baissier,,0.0,0.0,,4448.145,haut,M15,2026-08-31 13:15:00+00:00,4455.555,M15,4428.535,M3,4451.695,4451.685,marche,4450.145,4456.555,4436.1006,4456.855,0.1,-57.87,-1.047,stop,0,2
sweep,M15,2026-09-01 19:48:00+00:00,2026-09-02 00:02:00+00:00,haussier,,0.0,0.0,,4323.925,bas,M15,2026-08-19 01:00:00+00:00,4322.525,M15,4461.275,M1,4326.085,4325.895,marche,4328.135,4321.525,4422.425,4321.225,0.09,-53.63,-1.045,stop,19,2
